"scenario_id","estimator","formula_id","n_replicates","n_converged","bias","mse","power","mean_estimate","mean_se","allocation","K","n","covariate_distribution"
"main_3to1_K30_n040_normal","target_only","misspecified",1,1,-0.342344822296357,0.117199977353124,1,1.65765517770364,0.427324129019197,"3to1",30,40,"normal"
"main_3to1_K30_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,40,"normal"
"main_3to1_K30_n040_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,40,"normal"
"main_3to1_K30_n040_normal","target_only","correct",1,1,-0.381918504858358,0.145861744353243,1,1.61808149514164,0.396857017396522,"3to1",30,40,"normal"
"main_3to1_K30_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,40,"normal"
"main_3to1_K30_n040_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,40,"normal"
"main_4to0_K30_n040_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",30,40,"normal"
"main_4to0_K30_n040_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",30,40,"normal"
"main_4to0_K30_n040_normal","meta_regression","misspecified",1,1,0.522423753900435,0.272926578639422,1,2.52242375390043,0.297539506413005,"4to0",30,40,"normal"
"main_4to0_K30_n040_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",30,40,"normal"
"main_4to0_K30_n040_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",30,40,"normal"
"main_4to0_K30_n040_normal","meta_regression","correct",1,1,0.00630190969549815,3.97140658102136e-05,1,2.0063019096955,0.384031293999138,"4to0",30,40,"normal"
"main_1to1_K05_n100_normal","target_only","misspecified",1,1,0.368174790409515,0.13555267629309,1,2.36817479040951,0.257392999828672,"1to1",5,100,"normal"
"main_1to1_K05_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,100,"normal"
