"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_3to1_K10_n040_normal",1,"target_only","correct",2.49471396462045,0.376168707800355,1.73180846497398,3.25761946426692,TRUE,""
"main_3to1_K10_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K10_n040_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K10_n040_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K10_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K10_n040_normal",1,"meta_regression","misspecified",2.54809940440087,0.496985693647567,1.57402534401998,3.52217346478176,TRUE,""
"main_4to0_K10_n040_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K10_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K10_n040_normal",1,"meta_regression","correct",1.87477336091705,0.625318335017302,0.649171945410592,3.10037477642352,TRUE,""
"main_1to1_K30_n040_normal",1,"target_only","misspecified",1.60272462436389,0.504095473593235,0.582236689567304,2.62321255916048,TRUE,""
"main_1to1_K30_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K30_n040_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K30_n040_normal",1,"target_only","correct",1.93885472487501,0.397974194850001,1.1317256477547,2.74598380199532,TRUE,""
"main_1to1_K30_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K30_n040_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K30_n040_normal",1,"target_only","misspecified",1.65765517770364,0.427324129019197,0.792582704818415,2.52272765058887,TRUE,""
"main_3to1_K30_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K30_n040_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K30_n040_normal",1,"target_only","correct",1.61808149514164,0.396857017396522,0.813218158912762,2.42294483137052,TRUE,""
"main_3to1_K30_n040_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_3to1_K30_n040_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K30_n040_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K30_n040_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K30_n040_normal",1,"meta_regression","misspecified",2.52242375390043,0.297539506413005,1.93925703735312,3.10559047044775,TRUE,""
"main_4to0_K30_n040_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
